label_view,dimension,spearman_with_global,mean_dimension_level
p01,character_demand,0.9334436516285517,2.95
p01,vocabulary_demand,0.9323058344583182,3.0
p01,grammar_sentence_demand,0.9427406990122457,2.825
p01,discourse_demand,0.9323474105703985,2.925
p01,semantic_content_demand,0.8909073369173025,2.625
p01,character_plot_demand,0.7608069806234876,2.433333333333333
p01,genre_theme_demand,0.7921295800956507,2.4583333333333335
p01,illustration_independence,0.7799530229884309,2.15
p01,pinyin_annotation_reduction,0.1236959618837877,5.683333333333334
p01,layout_density,0.8980314139501925,3.025
p02,character_demand,0.8321751546690612,2.058333333333333
p02,vocabulary_demand,0.9332438876244443,2.3583333333333334
p02,grammar_sentence_demand,0.7869566381664872,2.1666666666666665
p02,discourse_demand,0.8967649618453455,2.25
p02,semantic_content_demand,0.8421681375070164,2.1416666666666666
p02,character_plot_demand,0.6873251512803056,1.975
p02,genre_theme_demand,0.8379989248549415,2.091666666666667
p02,illustration_independence,0.5989984667447334,2.216666666666667
p02,pinyin_annotation_reduction,0.28188341964576474,5.55
p02,layout_density,0.7670372131897567,1.925
p03,character_demand,0.4190258341891065,2.075
p03,vocabulary_demand,0.5071175404284294,2.058333333333333
p03,grammar_sentence_demand,0.8290144050511817,4.091666666666667
p03,discourse_demand,0.861980774383731,3.683333333333333
p03,semantic_content_demand,0.6410707023735712,2.908333333333333
p03,character_plot_demand,0.8752501743279278,3.375
p03,genre_theme_demand,0.6816727337134265,2.425
p03,illustration_independence,0.71530864676345,3.625
p03,pinyin_annotation_reduction,0.3205344944773225,5.441666666666666
p03,layout_density,0.8294198282779269,3.941666666666667
adjudicated,character_demand,0.3892624210460569,2.025
adjudicated,vocabulary_demand,0.3813594661396586,2.1083333333333334
adjudicated,grammar_sentence_demand,0.826227589432054,3.691666666666667
adjudicated,discourse_demand,0.919113661391528,2.875
adjudicated,semantic_content_demand,0.7881591716247116,2.591666666666667
adjudicated,character_plot_demand,0.8088022686121891,2.9166666666666665
adjudicated,genre_theme_demand,0.8117647007141824,2.2666666666666666
adjudicated,illustration_independence,0.6521472800184697,2.7333333333333334
adjudicated,pinyin_annotation_reduction,0.12697394509763885,5.658333333333333
adjudicated,layout_density,0.8314324027781083,3.7916666666666665
